dam_name,lavel,r_percen,percen_lv,cnanel,percen_cha,outflow,outflow/day,chi,perchi,Latitude,Longitude,date,time,urlpercen,urlpercenchi,urlpercencha,inflow,inflow/day,rain,person
อุบลรัตน์,1006.74,0.41,41.41%,"1,424.56",58.59%,0.8,9.26,425.07,22.98%,16.775259,102.618412,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/178ac9ab2d918b896.jpeg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์4.jpg"" width=100% >","<img src="".../beeX/damp/percendamp/สไลด์7.jpg"" width=100% >",26.19,303.13,-,กฟผ
อ่างเก็บน้ำแก่งละว้า,28.696,0.63,62.68%,21.12,46.13%,0.01,0.12,4.957,10.83%,16.175638,102.718045,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/28e7bc8b99ccb01e3.jpeg"" width=100% >",,,0.479,5.54,20,สบ.4 คป.ขอนแก่น
อ่างเก็บน้ำห้วยยาง,2.27,0.75,75.19%,0.82,27.19%,-,-,0.53,17.56%,16.116724,102.42947,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/37a2ce23cf3971246.jpeg"" width=100% >",,,0.054,0.63,20,สบ.4 คป.ขอนแก่น
อ่างเก็บน้ำหนองนาวัว,0.993,0.71,71.39%,0.56,40.47%,-,-,0.15,10.78%,16.014361,102.696211,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/424e7e4616d78a4fc.jpeg"" width=100% >",,,0.009,0.10,17,สบ.4 คป.ขอนแก่น
อ่างเก็บน้ำห้วยทราย,2.328,0.23,22.60%,5.66,54.95%,-,-,0.21,2.04%,16.067765,102.803446,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/535f250c80b05b0ed.jpeg"" width=100% >",,,0.06,0.69,0,สบ.4 คป.ขอนแก่น
อ่างเก็บน้ำหนองกรองแก้ว,4.905,0.36,36.10%,8.91,65.58%,-,-,3.5,25.76%,16.07808,102.612588,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/6c5577448cfea7847.jpeg"" width=100% >",,,-,-,0,สบ.4 คป.ขอนแก่น
อ่างเก็บน้ำห้วยใหญ่,1.021,0.73,72.93%,0.50,35.57%,-,-,0.37,26.43%,16.571797,102.656443,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/7efd5e56d4fd18703.jpeg"" width=100% >",,,-,-,72,สบ.1 คป.ขอนแก่น
อ่างเก็บน้ำละเลิงหวาย,1.638,0.44,43.83%,2.81,75.22%,0.01,0.06,0.02,0.54%,15.791691,102.637231,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/816cec61dc8478712.jpeg"" width=100% >",,,-,-,22.5,สบ.5 คป.ขอนแก่น
อ่างเก็บน้ำห้วยเตย,4.807,0.90,90.07%,2.26,42.36%,-,-,0.3,5.62%,16.290494,102.814827,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/98e5a50a3017c2481.jpeg"" width=100% >",,,-,-,70,สบ.1 คป.ขอนแก่น
อ่างเก็บน้ำห้วยลอมไผ่,3.084,0.55,55.07%,3.01,53.71%,-,-,0.22,3.93%,16.697449,102.119417,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/1056c746bb3199b804.jpeg"" width=100% >",,,-,-,59.5,สบ.2 คป.ขอนแก่น
อ่างเก็บน้ำโสกรวก,0.34,0.34,34.00%,0.68,67.70%,-,-,0.18,18.00%,16.635044,102.409082,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/114e6b6b258d6539e5.jpeg"" width=100% >",,,-,-,0,สบ.2 คป.ขอนแก่น
อ่างเก็บน้ำกกม่วง,0.278,0.568507157,56.85%,0.211,43.15%,0,0.00,0.12,24.54%,16.451285,102.612359,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/1225c11d4c59f5dced.jpeg"" width=100% >",,,0,0.00,78.5,สบ.1 คป.ขอนแก่น
อ่างเก็บน้ำโสกสำอางค์,0.088,0.75862069,75.86%,0.028,24.14%,0,0.00,0.031,26.72%,16.555726,102.174101,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/13f22d6c0a15005c1e.jpeg"" width=100% >",,,0,0.00,0,สบ.2 คป.ขอนแก่น
อ่างเก็บน้ำห้วยเสียว,0.76,1.439393939,143.94%,-0.232,-43.94%,0.61,7.06,0.29,54.92%,16.743021,102.916517,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/14ba587936b3bfdb25.jpeg"" width=100% >",,,0.789,9.13,112.5,สบ.3 คป.ขอนแก่น
อ่างเก็บน้ำบึงกุดเค้า,7.311,0.337192141,33.72%,14.371,66.28%,0,0.00,2,9.22%,16.167475,102.552215,16-09-23,6.00น.,"<img src=""https://cdn.pic.in.th/file/picinth/15ca6c7422d4de6f0b.jpeg"" width=100% >",,,0,0.00,0,สบ.4 คป.ขอนแก่น
